,precision,recall,f1-score,support
0,0.9704755145493258,0.9564913262451036,0.9634326780807441,7148.0
1,0.9564852385616343,0.9704713231118682,0.9634275244873511,7044.0
accuracy,0.9634301014656145,0.9634301014656145,0.9634301014656145,0.9634301014656145
macro avg,0.96348037655548,0.9634813246784859,0.9634301012840476,14192.0
weighted avg,0.9635316374314215,0.9634301014656145,0.9634301201669998,14192.0
