,precision,recall,f1-score,support
0,0.9933277731442869,0.9997202014549524,0.9965137358806303,7148.0
1,0.9997142040583024,0.9931856899488927,0.9964392536675687,7044.0
accuracy,0.9964768883878241,0.9964768883878241,0.9964768883878241,0.9964768883878241
macro avg,0.9965209886012947,0.9964529457019226,0.9964764947740995,14192.0
weighted avg,0.9964975884880246,0.9964768883878241,0.9964767676796152,14192.0
