,precision,recall,f1-score,support
0,0.9949832775919732,0.9988808058198098,0.996928232337336,7148.0
1,0.9988597491448119,0.9948892674616695,0.9968705547652916,7044.0
accuracy,0.9968996617812852,0.9968996617812852,0.9968996617812852,0.9968996617812852
macro avg,0.9969215133683926,0.9968850366407396,0.9968993935513137,14192.0
weighted avg,0.9969073098367729,0.9968996617812852,0.9968996048840185,14192.0
