,precision,recall,f1-score,support
0,0.9840220385674932,0.9994404029099049,0.991671293725708,7148.0
1,0.9994229659549914,0.9835320840431573,0.9914138523182598,7044.0
accuracy,0.9915445321307779,0.9915445321307779,0.9915445321307779,0.9915445321307779
macro avg,0.9917225022612423,0.991486243476531,0.9915425730219839,14192.0
weighted avg,0.9916660727076804,0.9915445321307779,0.9915435162965884,14192.0
